PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
3762740,3762740,0,1872,1872,20714.2,5287.0,3893,2995435,86469.6,3760.0,2070.0,1840,2958790,68335.4,16101.5,2283.5,875,597162,52380.6,852.6,864.0,800,5440,107.7,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::isneginf_kernel_impl(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
3762740,3762740,0,1872,1871,19659.8,6182.0,4908,565496,51085.0,2299.4,2180.0,2010,22290,607.0,15688.2,2220.0,899,561310,51103.0,1681.5,1696.0,1536,1856,33.4,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
3762740,3762740,0,1872,1870,19377.5,5135.0,3709,1221554,58413.5,2706.8,1950.0,1810,1221554,28187.9,15919.7,2336.0,48,589266,51407.8,768.9,768.0,736,864,16.6,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
3762740,3762740,0,1872,1872,19145.2,5626.0,4471,589794,52525.6,2194.9,2080.0,1880,17950,501.2,15638.6,2159.0,783,586322,52507.0,1311.7,1312.0,1248,5472,100.5,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::<unnamed>::where_kernel_impl(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 11)]::operator ()() const::[lambda(bool, float, float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
3762740,3762740,0,286,286,19128.5,6206.5,4866,220001,38553.5,2320.2,2160.0,1920,24630,1363.9,15089.9,2300.5,842,216103,38438.6,1718.5,1728.0,1663,1856,22.7,cudaLaunchKernel,"void gemmSN_TN_kernel<float, (int)128, (int)16, (int)2, (int)4, (int)8, (int)9, (bool)0, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>>(cublasGemmSmallNParams<T9, T10, T11, T1>)"
3762740,3762740,0,3744,3744,18986.5,5215.0,3940,1271811,54611.7,2411.4,1985.5,1790,1270734,20735.7,15717.8,2308.0,16,533914,50638.0,857.3,864.0,800,1024,17.4,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
3762740,3762740,0,3744,3744,18982.5,5391.0,3896,585132,52239.2,2073.9,1970.0,1780,11400,352.2,16067.0,2466.0,715,582410,52234.4,841.6,832.0,800,6048,87.6,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
3762740,3762740,0,299,299,18824.2,6213.0,4732,227777,38242.3,2224.8,2080.0,1880,5630,413.3,14778.9,2197.0,1190,223707,38253.6,1820.5,1856.0,1280,2080,111.6,cudaLaunchKernel,"void gemmSN_NN_kernel<float, (int)256, (int)4, (int)2, (int)8, (int)4, (int)4, (bool)0, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>>(cublasGemmSmallNParams<T9, T10, T11, T1>)"
3762740,3762740,0,286,286,18156.3,5407.0,4469,216103,37813.6,2151.7,2010.0,1840,11380,668.7,14975.4,2306.0,392,213149,37863.3,1029.3,1024.0,992,1056,15.5,cudaLaunchKernel,"void <unnamed>::softmax_warp_forward<float, float, float, (int)4, (bool)0, (bool)0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)"
3762740,3762740,0,1872,1872,16481.8,9233.0,7708,260376,29341.6,2125.9,2010.0,1890,12050,465.7,9433.9,2186.0,468,253082,29326.0,4921.9,4928.0,4383,5600,228.0,cudaLaunchKernel,"void pytorch_flash::flash_fwd_kernel<Flash_fwd_kernel_traits<(int)96, (int)128, (int)64, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)96, (int)128, (int)64, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)0, (bool)0, (bool)0, (bool)0>(pytorch_flash::Flash_fwd_params)"
3762740,3762740,0,13,13,7486.2,5382.0,5172,15679,4043.4,2877.1,2300.0,1960,10191,2219.9,3636.8,2215.0,1644,12347,3731.5,972.3,960.0,960,992,16.2,cudaLaunchKernel,"void <unnamed>::softmax_warp_forward<float, float, float, (int)2, (bool)0, (bool)0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)"
3762740,3762740,0,13,13,6357.3,6182.0,5954,7075,366.8,2334.6,2170.0,2070,3050,310.5,2412.8,2412.0,2204,2599,106.5,1609.8,1600.0,1600,1632,15.4,cudaLaunchKernel,"void gemmSN_TN_kernel<float, (int)128, (int)16, (int)2, (int)4, (int)4, (int)4, (bool)1, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>>(cublasGemmSmallNParams<T9, T10, T11, T1>)"
